participant_id,trial_number,y_length,response
Participant_09,1,355,X
Participant_09,2,400,Equal
Participant_09,3,430,Y
Participant_09,4,355,X
Participant_09,5,445,Y
Participant_09,6,355,Equal
Participant_09,7,370,X
Participant_09,8,370,X
Participant_09,9,430,Y
Participant_09,10,355,Equal
Participant_09,11,385,Equal
Participant_09,12,430,Y
Participant_09,13,385,X
Participant_09,14,370,X
Participant_09,15,430,Equal
Participant_09,16,400,Equal
Participant_09,17,400,Equal
Participant_09,18,445,Y
Participant_09,19,355,Equal
Participant_09,20,355,X
Participant_09,21,355,X
Participant_09,22,355,X
Participant_09,23,415,Y
Participant_09,24,385,Equal
Participant_09,25,445,Y
Participant_09,26,445,Y
Participant_09,27,385,Equal
Participant_09,28,400,Equal
Participant_09,29,415,Y
Participant_09,30,415,Y
Participant_09,31,370,X
Participant_09,32,370,X
Participant_09,33,430,Y
Participant_09,34,430,Y
Participant_09,35,370,X
Participant_09,36,370,X
Participant_09,37,400,X
Participant_09,38,355,X
Participant_09,39,370,Equal
Participant_09,40,430,Y
Participant_09,41,445,Y
Participant_09,42,400,X
Participant_09,43,385,X
Participant_09,44,445,Y
Participant_09,45,415,Y
Participant_09,46,445,Y
Participant_09,47,415,Y
Participant_09,48,385,Equal
Participant_09,49,400,Y
Participant_09,50,445,Y
Participant_09,51,385,Equal
Participant_09,52,415,Equal
Participant_09,53,370,Equal
Participant_09,54,430,Y
Participant_09,55,355,X
Participant_09,56,415,Y
Participant_09,57,400,Y
Participant_09,58,385,Equal
Participant_09,59,415,Equal
Participant_09,60,445,Y
Participant_09,61,385,X
Participant_09,62,370,Equal
Participant_09,63,430,Y
Participant_09,64,385,Equal
Participant_09,65,415,Equal
Participant_09,66,430,Y
Participant_09,67,400,X
Participant_09,68,415,Equal
Participant_09,69,400,Equal
Participant_09,70,445,Y
Participant_10,1,370,Y
Participant_10,2,400,Y
Participant_10,3,415,Equal
Participant_10,4,445,Equal
Participant_10,5,355,Y
Participant_10,6,415,Equal
Participant_10,7,445,Equal
Participant_10,8,385,Equal
Participant_10,9,430,Equal
Participant_10,10,445,Equal
Participant_10,11,430,Equal
Participant_10,12,355,Y
Participant_10,13,370,Equal
Participant_10,14,430,Equal
Participant_10,15,430,Equal
Participant_10,16,370,Equal
Participant_10,17,445,Y
Participant_10,18,355,Y
Participant_10,19,370,Equal
Participant_10,20,445,Equal
Participant_10,21,400,Equal
Participant_10,22,355,Equal
Participant_10,23,355,Equal
Participant_10,24,370,Equal
Participant_10,25,385,Equal
Participant_10,26,430,Equal
Participant_10,27,400,Equal
Participant_10,28,445,Equal
Participant_10,29,445,Equal
Participant_10,30,355,Y
Participant_10,31,385,Equal
Participant_10,32,400,Equal
Participant_10,33,415,Equal
Participant_10,34,385,Equal
Participant_10,35,370,Equal
Participant_10,36,355,Equal
Participant_10,37,445,Y
Participant_10,38,415,Equal
Participant_10,39,415,Equal
Participant_10,40,415,Y
Participant_10,41,430,Equal
Participant_10,42,430,Equal
Participant_10,43,400,Equal
Participant_10,44,400,Equal
Participant_10,45,400,Equal
Participant_10,46,430,Equal
Participant_10,47,370,Equal
Participant_10,48,400,Equal
Participant_10,49,415,Equal
Participant_10,50,385,Equal
Participant_10,51,400,Equal
Participant_10,52,445,Equal
Participant_10,53,385,Equal
Participant_10,54,445,Equal
Participant_10,55,355,Y
Participant_10,56,370,Y
Participant_10,57,415,Equal
Participant_10,58,415,Equal
Participant_10,59,430,Y
Participant_10,60,400,Equal
Participant_10,61,370,Equal
Participant_10,62,355,Y
Participant_10,63,385,Y
Participant_10,64,370,Y
Participant_10,65,415,Y
Participant_10,66,385,Y
Participant_10,67,385,Y
Participant_10,68,355,Equal
Participant_10,69,385,Equal
Participant_10,70,430,Y
Participant_11,1,445,Y
Participant_11,2,445,Y
Participant_11,3,370,X
Participant_11,4,430,Equal
Participant_11,5,430,Equal
Participant_11,6,430,Equal
Participant_11,7,385,X
Participant_11,8,430,Equal
Participant_11,9,400,Equal
Participant_11,10,355,X
Participant_11,11,385,Equal
Participant_11,12,400,X
Participant_11,13,370,X
Participant_11,14,385,Equal
Participant_11,15,445,Y
Participant_11,16,430,Equal
Participant_11,17,415,Y
Participant_11,18,370,X
Participant_11,19,415,Equal
Participant_11,20,370,X
Participant_11,21,430,Y
Participant_11,22,370,X
Participant_11,23,415,Equal
Participant_11,24,385,X
Participant_11,25,370,Equal
Participant_11,26,445,Equal
Participant_11,27,355,X
Participant_11,28,385,X
Participant_11,29,355,X
Participant_11,30,385,X
Participant_11,31,445,Y
Participant_11,32,400,X
Participant_11,33,415,Y
Participant_11,34,370,Equal
Participant_11,35,355,X
Participant_11,36,355,X
Participant_11,37,445,Y
Participant_11,38,415,Equal
Participant_11,39,430,Equal
Participant_11,40,355,X
Participant_11,41,415,Equal
Participant_11,42,355,X
Participant_11,43,415,Equal
Participant_11,44,400,Equal
Participant_11,45,400,X
Participant_11,46,385,X
Participant_11,47,430,X
Participant_11,48,445,Equal
Participant_11,49,355,X
Participant_11,50,430,Equal
Participant_11,51,400,Equal
Participant_11,52,445,Equal
Participant_11,53,400,Y
Participant_11,54,355,X
Participant_11,55,445,Y
Participant_11,56,415,Equal
Participant_11,57,355,X
Participant_11,58,385,X
Participant_11,59,415,Equal
Participant_11,60,430,Equal
Participant_11,61,385,X
Participant_11,62,445,Equal
Participant_11,63,400,X
Participant_11,64,385,Equal
Participant_11,65,370,X
Participant_11,66,370,X
Participant_11,67,400,X
Participant_11,68,400,X
Participant_11,69,370,X
Participant_11,70,415,X
Participant_12,1,445,Y
Participant_12,2,355,X
Participant_12,3,385,Equal
Participant_12,4,400,Y
Participant_12,5,400,Equal
Participant_12,6,355,X
Participant_12,7,400,Y
Participant_12,8,385,X
Participant_12,9,355,X
Participant_12,10,400,Y
Participant_12,11,415,Y
Participant_12,12,355,X
Participant_12,13,370,X
Participant_12,14,385,Equal
Participant_12,15,370,X
Participant_12,16,385,Equal
Participant_12,17,445,Equal
Participant_12,18,430,Equal
Participant_12,19,370,X
Participant_12,20,430,Equal
Participant_12,21,370,X
Participant_12,22,430,Y
Participant_12,23,355,Equal
Participant_12,24,370,Equal
Participant_12,25,385,X
Participant_12,26,415,Equal
Participant_12,27,370,X
Participant_12,28,355,X
Participant_12,29,385,Equal
Participant_12,30,400,Y
Participant_12,31,370,X
Participant_12,32,430,Y
Participant_12,33,415,Y
Participant_12,34,415,X
Participant_12,35,415,Y
Participant_12,36,400,Equal
Participant_12,37,430,Equal
Participant_12,38,415,Equal
Participant_12,39,415,Y
Participant_12,40,370,X
Participant_12,41,385,Y
Participant_12,42,445,Y
Participant_12,43,400,X
Participant_12,44,445,Y
Participant_12,45,400,Equal
Participant_12,46,430,Y
Participant_12,47,445,Y
Participant_12,48,355,X
Participant_12,49,415,Equal
Participant_12,50,445,Y
Participant_12,51,430,Equal
Participant_12,52,415,Equal
Participant_12,53,415,Equal
Participant_12,54,430,Equal
Participant_12,55,445,Y
